Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_x0,q_x1,q_x2,q_x3,q_x4,q_x5,q_x6,q_x7,q_x8,q_x9,q_x10,q_x11,q_x12,q_x13
0,0,0,0,0,0,0,M_0,M_0,M_1,M_1,M_2,M_2,M_3,M_3,M_4,M_4,M_5,M_5,M_6,M_6
0,1,1,0,0,0,0,M_0,M_0,M_1,M_1,M_2,M_2,M_3,M_3,M_4,M_4,M_5,M_5,M_6,M_6
0,2,2,2,2,1,1,M_0,M_0,M_1,M_2,M_2,M_1,M_3,M_3,M_4,M_4,M_5,M_5,M_6,M_6
0,3,3,2,4,1,2,M_0,M_0,M_2,M_2,M_1,M_1,M_3,M_3,M_4,M_4,M_5,M_5,M_6,M_6
0,4,4,2,6,1,3,M_0,M_0,M_2,M_2,M_1,M_3,M_3,M_1,M_4,M_4,M_5,M_5,M_6,M_6
0,5,5,2,8,1,4,M_0,M_0,M_2,M_2,M_1,M_1,M_3,M_3,M_4,M_4,M_5,M_5,M_6,M_6
0,6,6,2,10,1,5,M_0,M_0,M_2,M_2,M_1,M_1,M_3,M_4,M_4,M_3,M_5,M_5,M_6,M_6
0,7,7,2,12,1,6,M_0,M_0,M_2,M_2,M_1,M_1,M_4,M_4,M_3,M_3,M_5,M_5,M_6,M_6
0,8,8,2,14,1,7,M_0,M_0,M_2,M_2,M_1,M_1,M_4,M_4,M_5,M_3,M_3,M_5,M_6,M_6
0,9,9,2,16,1,8,M_0,M_0,M_2,M_2,M_1,M_1,M_4,M_4,M_3,M_3,M_5,M_5,M_6,M_6
0,10,10,2,18,1,9,M_0,M_0,M_2,M_2,M_1,M_1,M_4,M_4,M_3,M_3,M_5,M_6,M_5,M_6
0,11,11,2,20,1,10,M_0,M_0,M_2,M_2,M_1,M_1,M_4,M_4,M_3,M_3,M_6,M_6,M_5,M_5
0,12,12,2,22,1,11,M_0,M_0,M_2,M_2,M_1,M_1,M_4,M_4,M_3,M_3,M_6,M_5,M_5,M_6
0,13,13,2,24,1,12,M_0,M_0,M_2,M_2,M_1,M_1,M_4,M_4,M_3,M_3,M_5,M_5,M_6,M_6
0,14,14,3,27,0,15,M_0,M_0,M_2,M_2,M_1,M_1,M_3,M_4,M_5,M_3,M_5,M_4,M_6,M_6
0,15,15,2,29,1,16,M_0,M_0,M_2,M_2,M_1,M_1,M_5,M_4,M_5,M_3,M_3,M_4,M_6,M_6
0,16,16,2,31,1,17,M_0,M_0,M_2,M_2,M_5,M_1,M_5,M_4,M_1,M_3,M_3,M_4,M_6,M_6
0,17,17,3,34,0,20,M_0,M_0,M_5,M_2,M_5,M_1,M_1,M_4,M_2,M_3,M_3,M_4,M_6,M_6
0,18,18,3,37,0,23,M_0,M_0,M_5,M_2,M_2,M_1,M_1,M_4,M_4,M_3,M_3,M_5,M_6,M_6
0,19,19,0,37,0,23,M_0,M_0,M_5,M_2,M_2,M_1,M_1,M_4,M_4,M_3,M_3,M_5,M_6,M_6
