Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_f6,q_f5,q_f4,q_f3,q_f2,q_f1,q_f0,q_x7,q_x6,q_x5,q_x4,q_x3,q_x2,q_x1,q_x0
0,0,0,0,0,0,0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,1,1,1,1,0,1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,2,2,2,3,1,2,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,3,3,2,5,1,3,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
0,4,4,2,7,1,4,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
0,5,5,2,9,1,5,M_0,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
0,6,6,0,9,0,5,M_0,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
0,7,7,0,9,0,5,M_0,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
0,8,8,0,9,0,5,M_0,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
0,9,9,0,9,0,5,M_0,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
0,10,10,2,11,1,6,M_0,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
0,11,11,0,11,0,6,M_0,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
0,12,12,0,11,0,6,M_0,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
0,13,13,4,15,2,8,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1
0,14,14,2,17,1,9,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_0,M_1
0,15,15,1,18,0,10,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
0,16,16,1,19,0,11,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
0,17,17,0,19,0,11,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
0,18,18,2,21,1,12,M_0,M_0,M_0,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
0,19,19,2,23,1,13,M_0,M_0,M_0,M_1,M_0,M_0,M_1,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
0,20,20,0,23,0,13,M_0,M_0,M_0,M_1,M_0,M_0,M_1,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
0,21,21,0,23,0,13,M_0,M_0,M_0,M_1,M_0,M_0,M_1,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
0,22,22,2,25,1,14,M_0,M_0,M_0,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
0,23,23,2,27,1,15,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
0,24,24,0,27,0,15,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
0,25,25,2,29,1,16,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
0,26,26,2,31,1,17,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,27,27,2,33,1,18,M_0,M_0,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1
0,28,28,0,33,0,18,M_0,M_0,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1
0,29,29,2,35,1,19,M_0,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1
0,30,30,2,37,1,20,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1
0,31,31,0,37,0,20,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1
0,32,32,2,39,1,21,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,33,33,2,41,1,22,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,34,34,2,43,1,23,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,35,35,4,47,2,25,M_0,M_0,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1
0,36,36,0,47,0,25,M_0,M_0,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1
0,37,37,4,51,2,27,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_0,M_1
0,38,38,0,51,0,27,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_0,M_1
0,39,39,4,55,2,29,M_0,M_0,M_1,M_1,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_1,M_0,M_1
0,40,40,0,55,0,29,M_0,M_0,M_1,M_1,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_1,M_0,M_1
0,41,41,2,57,1,30,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_1,M_1,M_1
0,42,42,2,59,1,31,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,43,43,0,59,0,31,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,44,44,2,61,1,32,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,45,45,2,63,1,33,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,46,46,2,65,1,34,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,47,47,2,67,1,35,M_0,M_0,M_0,M_1,M_0,M_1,M_0,M_0,M_1,M_1,M_0,M_1,M_1,M_1,M_1
0,48,48,2,69,1,36,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_0,M_1,M_1,M_0,M_1,M_1,M_1,M_1
0,49,49,2,71,1,37,M_0,M_0,M_0,M_1,M_0,M_1,M_0,M_0,M_1,M_1,M_0,M_1,M_1,M_1,M_1
0,50,50,2,73,1,38,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,51,51,2,75,1,39,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,52,52,2,77,1,40,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,53,53,0,77,0,40,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
