Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_a,q_b,q_c,q_d,q_e,q_f,q_g,q_h,q_i,q_j,q_k,q_l,q_m,q_n,q_o
0,0,0,0,0,0,0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,1,1,3,3,1,2,M_0,M_1,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
0,2,2,0,3,0,2,M_0,M_1,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
0,3,3,0,3,0,2,M_0,M_1,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
0,4,4,2,5,1,3,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_0,M_1,M_1,M_1
0,5,5,0,5,0,3,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_0,M_1,M_1,M_1
0,6,6,1,6,0,4,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1
0,7,7,1,7,0,5,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
0,8,8,0,7,0,5,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
0,9,9,2,9,1,6,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1
0,10,10,0,9,0,6,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1
0,11,11,0,9,0,6,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1
1,11,0,0,9,0,6,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1
1,12,1,0,9,0,6,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1
1,13,2,2,11,1,7,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1
1,14,3,2,13,1,8,M_0,M_1,M_0,M_1,M_0,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1
1,15,4,0,13,0,8,M_0,M_1,M_0,M_1,M_0,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1
1,16,5,0,13,0,8,M_0,M_1,M_0,M_1,M_0,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1
1,17,6,0,13,0,8,M_0,M_1,M_0,M_1,M_0,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1
1,18,7,0,13,0,8,M_0,M_1,M_0,M_1,M_0,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1
1,19,8,0,13,0,8,M_0,M_1,M_0,M_1,M_0,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1
1,20,9,0,13,0,8,M_0,M_1,M_0,M_1,M_0,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1
1,21,10,0,13,0,8,M_0,M_1,M_0,M_1,M_0,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1
1,22,11,0,13,0,8,M_0,M_1,M_0,M_1,M_0,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1
2,22,0,0,13,0,8,M_0,M_1,M_0,M_1,M_0,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1
2,23,1,2,15,1,9,M_0,M_1,M_0,M_0,M_0,M_1,M_0,M_1,M_0,M_0,M_1,M_1,M_1,M_1,M_1
2,24,2,2,17,1,10,M_0,M_1,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
2,25,3,0,17,0,10,M_0,M_1,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
2,26,4,0,17,0,10,M_0,M_1,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
2,27,5,0,17,0,10,M_0,M_1,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
2,28,6,0,17,0,10,M_0,M_1,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
2,29,7,0,17,0,10,M_0,M_1,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
2,30,8,2,19,1,11,M_0,M_0,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
2,31,9,0,19,0,11,M_0,M_0,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
2,32,10,0,19,0,11,M_0,M_0,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
2,33,11,0,19,0,11,M_0,M_0,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
3,33,0,0,19,0,11,M_0,M_0,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
3,34,1,0,19,0,11,M_0,M_0,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
3,35,2,2,21,1,12,M_0,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
3,36,3,2,23,1,13,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
3,37,4,0,23,0,13,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
3,38,5,0,23,0,13,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
3,39,6,0,23,0,13,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
3,40,7,0,23,0,13,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
3,41,8,2,25,1,14,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1
3,42,9,0,25,0,14,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1
3,43,10,0,25,0,14,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1
3,44,11,0,25,0,14,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1
4,44,0,0,25,0,14,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1
4,45,1,0,25,0,14,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1
4,46,2,2,27,1,15,M_1,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1
4,47,3,0,27,0,15,M_1,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1
4,48,4,1,28,0,16,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1
4,49,5,1,29,0,17,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
4,50,6,0,29,0,17,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
4,51,7,0,29,0,17,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
4,52,8,2,31,1,18,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
4,53,9,0,31,0,18,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
4,54,10,0,31,0,18,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
4,55,11,0,31,0,18,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
5,55,0,0,31,0,18,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
5,56,1,2,33,1,19,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
5,57,2,0,33,0,19,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
5,58,3,0,33,0,19,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
5,59,4,0,33,0,19,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
5,60,5,0,33,0,19,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
5,61,6,0,33,0,19,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
5,62,7,0,33,0,19,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
5,63,8,0,33,0,19,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
5,64,9,0,33,0,19,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
5,65,10,0,33,0,19,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
