Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19
0,0,0,0,0,0,0,M_0,M_0,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_3,M_3,M_3,M_4,M_4,M_4,M_5,M_5,M_5,M_6,M_6
0,1,1,0,0,0,0,M_0,M_0,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_3,M_3,M_3,M_4,M_4,M_4,M_5,M_5,M_5,M_6,M_6
0,2,2,2,2,0,2,M_0,M_6,M_0,M_0,M_1,M_1,M_2,M_2,M_2,M_3,M_3,M_3,M_4,M_4,M_4,M_5,M_5,M_5,M_6,M_6
0,3,3,0,2,0,2,M_0,M_6,M_0,M_0,M_1,M_1,M_2,M_2,M_2,M_3,M_3,M_3,M_4,M_4,M_4,M_5,M_5,M_5,M_6,M_6
0,4,4,1,3,0,3,M_1,M_6,M_0,M_0,M_1,M_1,M_2,M_2,M_2,M_3,M_3,M_3,M_4,M_4,M_4,M_5,M_5,M_5,M_6,M_6
0,5,5,2,5,0,5,M_1,M_6,M_0,M_0,M_0,M_1,M_1,M_2,M_2,M_3,M_3,M_3,M_4,M_4,M_4,M_5,M_5,M_5,M_6,M_6
0,6,6,0,5,0,5,M_1,M_6,M_0,M_0,M_0,M_1,M_1,M_2,M_2,M_3,M_3,M_3,M_4,M_4,M_4,M_5,M_5,M_5,M_6,M_6
0,7,7,2,7,0,7,M_2,M_6,M_0,M_0,M_0,M_1,M_1,M_2,M_2,M_3,M_3,M_1,M_4,M_4,M_4,M_5,M_5,M_5,M_6,M_6
0,8,8,0,7,0,7,M_2,M_6,M_0,M_0,M_0,M_1,M_1,M_2,M_2,M_3,M_3,M_1,M_4,M_4,M_4,M_5,M_5,M_5,M_6,M_6
0,9,9,1,8,0,8,M_3,M_6,M_0,M_0,M_0,M_1,M_1,M_2,M_2,M_3,M_3,M_1,M_4,M_4,M_4,M_5,M_5,M_5,M_6,M_6
0,10,10,0,8,0,8,M_3,M_6,M_0,M_0,M_0,M_1,M_1,M_2,M_2,M_3,M_3,M_1,M_4,M_4,M_4,M_5,M_5,M_5,M_6,M_6
1,10,0,0,8,0,8,M_3,M_6,M_0,M_0,M_0,M_1,M_1,M_2,M_2,M_3,M_3,M_1,M_4,M_4,M_4,M_5,M_5,M_5,M_6,M_6
1,11,1,3,11,1,10,M_3,M_6,M_0,M_0,M_0,M_1,M_1,M_2,M_2,M_2,M_1,M_3,M_4,M_4,M_4,M_5,M_5,M_5,M_6,M_6
1,12,2,1,12,0,11,M_3,M_6,M_0,M_0,M_0,M_1,M_1,M_2,M_2,M_2,M_1,M_3,M_3,M_4,M_4,M_5,M_5,M_5,M_6,M_6
1,13,3,1,13,0,12,M_4,M_6,M_0,M_0,M_0,M_1,M_1,M_2,M_2,M_2,M_1,M_3,M_3,M_4,M_4,M_5,M_5,M_5,M_6,M_6
1,14,4,2,15,0,14,M_4,M_6,M_0,M_0,M_0,M_1,M_1,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_4,M_4,M_5,M_5,M_6,M_6
1,15,5,0,15,0,14,M_4,M_6,M_0,M_0,M_0,M_1,M_1,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_4,M_4,M_5,M_5,M_6,M_6
1,16,6,2,17,0,16,M_5,M_6,M_0,M_0,M_4,M_1,M_1,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_4,M_4,M_5,M_5,M_6,M_6
1,17,7,1,18,0,17,M_5,M_0,M_0,M_0,M_4,M_1,M_1,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_4,M_4,M_5,M_5,M_6,M_6
1,18,8,1,19,0,18,M_6,M_0,M_0,M_0,M_4,M_1,M_1,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_4,M_4,M_5,M_5,M_6,M_6
1,19,9,0,19,0,18,M_6,M_0,M_0,M_0,M_4,M_1,M_1,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_4,M_4,M_5,M_5,M_6,M_6
1,20,10,0,19,0,18,M_6,M_0,M_0,M_0,M_4,M_1,M_1,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_4,M_4,M_5,M_5,M_6,M_6
2,20,0,0,19,0,18,M_6,M_0,M_0,M_0,M_4,M_1,M_1,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_4,M_4,M_5,M_5,M_6,M_6
2,21,1,2,21,1,19,M_6,M_4,M_0,M_0,M_4,M_1,M_1,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_0,M_4,M_5,M_5,M_6,M_6
2,22,2,2,23,0,21,M_6,M_4,M_0,M_0,M_4,M_4,M_1,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_0,M_5,M_5,M_5,M_6,M_6
2,23,3,1,24,0,22,M_6,M_1,M_0,M_0,M_4,M_4,M_1,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_0,M_5,M_5,M_5,M_6,M_6
2,24,4,3,27,1,24,M_6,M_2,M_0,M_0,M_4,M_4,M_4,M_2,M_2,M_1,M_1,M_3,M_3,M_3,M_0,M_5,M_5,M_5,M_6,M_6
2,25,5,0,27,0,24,M_6,M_2,M_0,M_0,M_4,M_4,M_4,M_2,M_2,M_1,M_1,M_3,M_3,M_3,M_0,M_5,M_5,M_5,M_6,M_6
2,26,6,1,28,0,25,M_6,M_1,M_0,M_0,M_4,M_4,M_4,M_2,M_2,M_1,M_1,M_3,M_3,M_3,M_0,M_5,M_5,M_5,M_6,M_6
2,27,7,2,30,0,27,M_6,M_1,M_0,M_0,M_4,M_4,M_4,M_2,M_2,M_2,M_1,M_1,M_3,M_3,M_0,M_5,M_5,M_5,M_6,M_6
2,28,8,0,30,0,27,M_6,M_1,M_0,M_0,M_4,M_4,M_4,M_2,M_2,M_2,M_1,M_1,M_3,M_3,M_0,M_5,M_5,M_5,M_6,M_6
2,29,9,1,31,0,28,M_6,M_3,M_0,M_0,M_4,M_4,M_4,M_2,M_2,M_2,M_1,M_1,M_3,M_3,M_0,M_5,M_5,M_5,M_6,M_6
