Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_a,q_b,q_c,q_d,q_e,q_f,q_g,q_h,q_i,q_j,q_k,q_l,q_m,q_n,q_o
0,0,0,0,0,0,0,M_1,M_2,M_1,M_0,M_2,M_0,M_0,M_2,M_0,M_1,M_2,M_1,M_1,M_0,M_2
0,1,1,5,5,1,4,M_0,M_2,M_2,M_0,M_2,M_0,M_0,M_2,M_1,M_1,M_0,M_1,M_1,M_1,M_2
0,2,2,0,5,0,4,M_0,M_2,M_2,M_0,M_2,M_0,M_0,M_2,M_1,M_1,M_0,M_1,M_1,M_1,M_2
0,3,3,2,7,1,5,M_0,M_2,M_2,M_0,M_1,M_0,M_0,M_2,M_1,M_2,M_0,M_1,M_1,M_1,M_2
0,4,4,2,9,1,6,M_0,M_2,M_2,M_0,M_1,M_0,M_0,M_2,M_1,M_2,M_2,M_1,M_1,M_1,M_0
0,5,5,3,12,0,9,M_0,M_2,M_2,M_0,M_1,M_2,M_0,M_1,M_1,M_2,M_2,M_1,M_1,M_0,M_0
0,6,6,0,12,0,9,M_0,M_2,M_2,M_0,M_1,M_2,M_0,M_1,M_1,M_2,M_2,M_1,M_1,M_0,M_0
0,7,7,0,12,0,9,M_0,M_2,M_2,M_0,M_1,M_2,M_0,M_1,M_1,M_2,M_2,M_1,M_1,M_0,M_0
0,8,8,0,12,0,9,M_0,M_2,M_2,M_0,M_1,M_2,M_0,M_1,M_1,M_2,M_2,M_1,M_1,M_0,M_0
0,9,9,0,12,0,9,M_0,M_2,M_2,M_0,M_1,M_2,M_0,M_1,M_1,M_2,M_2,M_1,M_1,M_0,M_0
0,10,10,0,12,0,9,M_0,M_2,M_2,M_0,M_1,M_2,M_0,M_1,M_1,M_2,M_2,M_1,M_1,M_0,M_0
0,11,11,4,16,2,11,M_1,M_2,M_2,M_0,M_1,M_2,M_1,M_1,M_0,M_2,M_2,M_1,M_0,M_0,M_0
0,12,12,0,16,0,11,M_1,M_2,M_2,M_0,M_1,M_2,M_1,M_1,M_0,M_2,M_2,M_1,M_0,M_0,M_0
0,13,13,0,16,0,11,M_1,M_2,M_2,M_0,M_1,M_2,M_1,M_1,M_0,M_2,M_2,M_1,M_0,M_0,M_0
0,14,14,0,16,0,11,M_1,M_2,M_2,M_0,M_1,M_2,M_1,M_1,M_0,M_2,M_2,M_1,M_0,M_0,M_0
