Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_x1,q_x2,q_x3,q_x4,q_x5,q_x6,q_x7,q_x8,q_x9,q_x10,q_x11,q_x12,q_x13,q_x14,q_x15,q_x16,q_x17,q_x18,q_x19,q_x20,q_x21,q_x22,q_x23,q_x24,q_x25,q_x26,q_x27,q_x28,q_x29,q_x30,q_x31,q_x32,q_x33,q_x34,q_x35,q_x36,q_x37,q_x38,q_x39,q_x40,q_x41,q_x42,q_x43,q_x44,q_x45,q_x46,q_x47,q_x48,q_x49,q_x50,q_s1,q_s2,q_s3,q_s4,q_s5,q_s6
0,0,0,0,0,0,0,M_0,M_3,M_2,M_0,M_1,M_4,M_2,M_2,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_3,M_3,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_2,M_4,M_4,M_1,M_3,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_3,M_4,M_0,M_3,M_1,M_4,M_0
0,1,1,4,4,1,3,M_0,M_0,M_3,M_3,M_1,M_4,M_2,M_2,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_3,M_3,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_2,M_4,M_4,M_1,M_3,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_3,M_0,M_0,M_3,M_1,M_4,M_0
0,2,2,0,4,0,3,M_0,M_0,M_3,M_3,M_1,M_4,M_2,M_2,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_3,M_3,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_2,M_4,M_4,M_1,M_3,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_3,M_0,M_0,M_3,M_1,M_4,M_0
0,3,3,1,5,0,4,M_0,M_0,M_3,M_3,M_1,M_4,M_2,M_2,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_2,M_4,M_4,M_1,M_3,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_3,M_0,M_0,M_3,M_1,M_4,M_0
0,4,4,2,7,0,6,M_0,M_0,M_3,M_3,M_1,M_4,M_2,M_2,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_2,M_4,M_4,M_1,M_3,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_3,M_3,M_3,M_3,M_1,M_4,M_0
0,5,5,0,7,0,6,M_0,M_0,M_3,M_3,M_1,M_4,M_2,M_2,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_2,M_4,M_4,M_1,M_3,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_3,M_3,M_3,M_3,M_1,M_4,M_0
0,6,6,0,7,0,6,M_0,M_0,M_3,M_3,M_1,M_4,M_2,M_2,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_2,M_4,M_4,M_1,M_3,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_3,M_3,M_3,M_3,M_1,M_4,M_0
0,7,7,0,7,0,6,M_0,M_0,M_3,M_3,M_1,M_4,M_2,M_2,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_2,M_4,M_4,M_1,M_3,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_3,M_3,M_3,M_3,M_1,M_4,M_0
1,7,0,0,7,0,6,M_0,M_0,M_3,M_3,M_1,M_4,M_2,M_2,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_2,M_4,M_4,M_1,M_3,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_3,M_3,M_3,M_3,M_1,M_4,M_0
1,8,1,3,10,1,8,M_0,M_0,M_3,M_3,M_1,M_3,M_2,M_2,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_1,M_4,M_0
