Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_x1,q_x2,q_x3,q_x4,q_x5,q_s2,q_s3,q_s4
0,0,0,0,0,0,0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1
0,1,1,2,2,1,1,M_1,M_1,M_0,M_0,M_0,M_1,M_0,M_1
0,2,2,2,4,1,2,M_1,M_1,M_0,M_1,M_0,M_0,M_0,M_1
0,3,3,2,6,1,3,M_1,M_0,M_0,M_1,M_0,M_0,M_1,M_1
0,4,4,0,6,0,3,M_1,M_0,M_0,M_1,M_0,M_0,M_1,M_1
0,5,5,2,8,1,4,M_1,M_0,M_0,M_1,M_0,M_1,M_1,M_0
0,6,6,2,10,1,5,M_1,M_0,M_1,M_1,M_0,M_1,M_0,M_0
0,7,7,0,10,0,5,M_1,M_0,M_1,M_1,M_0,M_1,M_0,M_0
0,8,8,2,12,1,6,M_1,M_0,M_0,M_1,M_1,M_1,M_0,M_0
0,9,9,0,12,0,6,M_1,M_0,M_0,M_1,M_1,M_1,M_0,M_0
