Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15
0,0,0,0,0,0,0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3
0,1,1,0,0,0,0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3
0,2,2,0,0,0,0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3
0,3,3,3,3,0,3,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_3,M_3,M_3,M_3
0,4,4,1,4,0,4,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_3,M_3,M_3,M_3
0,5,5,0,4,0,4,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_3,M_3,M_3,M_3
0,6,6,0,4,0,4,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_3,M_3,M_3,M_3
0,7,7,1,5,0,5,M_2,M_0,M_0,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_3,M_3,M_3,M_3
0,8,8,0,5,0,5,M_2,M_0,M_0,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_3,M_3,M_3,M_3
0,9,9,0,5,0,5,M_2,M_0,M_0,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_3,M_3,M_3,M_3
0,10,10,1,6,0,6,M_4,M_0,M_0,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_3,M_3,M_3,M_3
0,11,11,1,7,0,7,M_4,M_0,M_0,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,12,12,0,7,0,7,M_4,M_0,M_0,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
